Designator	DISTRIBUTOR	DISTRIBUTOR #	MANUFACTURER	MANUFACTURER #	PART	Quantity	DNI	Comment	Description	PART DESCRIPTION	VALUE	TOLERANCE	EE_SPEC
"C150"	"Digikey"	"399-8957-2-ND"	"Kemet"	"C0402C222J3GACTU"	"2.2nF 25V C0G 0402"	"1"	""	"2.2nF"	"CAP CER 0402 2.2nF 25V C0G"	"2200pF ±5% 25V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)"	"2.2nF"	"5%"	"25"
"C151"	"Digi-Key"	"478-1074-2-ND"	"AVX"	"04025A220JAT2A"	"22pF 50V"	"1"	""	"22pF"	"CAP CER 0402 22pF 50V 5% C0G"	"22pF ±5% 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)"	"22pF"	"5%"	"22pF 5% 50V NP0 0402"
"C152A, C152B, C152C, C152D, C152E, C152F, C152G, C152H"	"Digikey"	"493-9426-2-ND"	"Nichicon"	"UCW1H221MNL1GS"	"220uF"	"8"	""	"220uF"	"CAP ALUM 220UF 20% 50V SMD"	"220µF 50V Aluminum Electrolytic Capacitors Radial, Can - SMD 7000 Hrs @ 105°C"	"220uF"	"20%"	"365mA@120Hz 730mA@100kHz 350mOhms"
"C198"	""	""	""	"DNI-C0402TBD"	""	"1"	"DNI"	"C0402TBD"	"Capacitor Non Polarized"	""	"C0402TBD"	""	""
"D1, D3, D13, D32, D33, D34, D35, D42, D44, D58, D59, D64, D65, D66, D67, D68, D69, D71, D72, D73"	"Digi-Key Electronics, Digikey"	"ESD9X3.3ST5GOSCT-ND"	"On Semi"	"ESD9X3.3ST5G"	"TVS DIODE 3.3VWM SOD923"	"20"	""	"ESD9X3.3ST5G"	"TVS DIODE 3.3VWM 10.4VC SOD923"	"TVS DIODE 3.3VWM SOD923"	"3.3V"	"-NA-"	"3.3Vso 15pF"
"D2"	"DIGI-KEY"	"SK54B-LTPMSTR-ND"	"MCC"	"SK54B-LTP"	"SK54B"	"1"	""	"SK54B"	"DIODE SCHOTTKY 40V 5A SMB_DO214AA"	""	""	""	""
"D4, D10, D11, D14, D26"	"Digi-Key Electronics"	"RSB39VTE-17TR-ND"	"Rohm"	"RSB39VTE-17"	"TVS DIODE 30VWM SOD323"	"5"	""	"RSB39VTE-17"	"DIODE TVS"	"TVS DIODE 30VWM SOD323"	"30V"	"-NA-"	"30Vso 30pF"
"D5, D12A, D12B, D12C, D12D, D12E, D12F, D12G, D12H, D19A, D19B, D19C, D19D, D19E, D19F, D19G, D19H, D20A, D20B, D20C, D20D, D20E, D20F, D20G, D20H, D28, D29, D30, D31, D36, D37, D38, D39, D40, D41, D60, D61, D62, D63, D70, D74, D75, D76, D77"	"Digi-Key Electronics, Digikey"	"BAT54WX-TPTR-ND"	"Diodes Incorporated"	"BAT54WX-TP"	"Schottky Diode"	"44"	""	"BAT54"	"DIODE SCHOTTKY 30V 200MA SOD523"	"Diode Schottky 30V 200mA (DC) Surface Mount SOD-523"	"BAT54"	"-NA-"	"30V 200mA"
"D6, D7, D8, D15"	"Digi-Key Electronics"	"SK310A-TPTR-ND"	"MCC"	"SK310A"	"Schottky Diode 100V 3A"	"4"	""	"SK310A-TP"	"DIODE Schottky 3A SMA"	"Diode Schottky 100V 3A Surface Mount DO-214AC (HSMA)"	"-NA-"	"-NA-"	"100V 3A"
"D9, D16, D17, D18, D24, LED1, LED2, LED3, LED4"	"Digi-Key Electronics, Digi-Key"	"350-2038-2-ND"	"Dialight"	"5988110107F"	"LED Red 0805, RED"	"9"	""	"Red"	"LED 0805 Red"	"Red 635nm LED Indication - Discrete 2.2V 0805 (2012 Metric)"	"Red"	"-NA-, NA"	"Vf=2.2V, 2.2V 0.02A"
"D21, D22, D43, D46A, D46B, D46C, D46D, D46E, D46F, D46G, D46H, D47A, D47B, D47C, D47D, D47E, D47F, D47G, D47H, D48A, D48B, D48C, D48D, D48E, D48F, D48G, D48H, D49A, D49B, D49C, D49D, D49E, D49F, D49G, D49H, D78"	"Digi-Key"	"SMAJ24ABTR-ND"	"Bourns Inc"	"SMAJ24A"	""	"36"	""	"SMAJ24A"	"TVS DIODE 24V 38.9V SMA"	"TVS DIODE 24V 38.9V SMA"	"SMAJ24A"	""	"24Vrs 38.9Vc"
"D23"	"Digi-Key Electronics"	"350-2044-2-ND"	"Dialight"	"5988170107F"	"LED GREEN CLEAR 0805 SMD"	"1"	""	"GRN"	"LED 0805 Green"	"Green 566nm LED Indication - Discrete 2V 0805 (2012 Metric)"	"GRN"	"-NA-"	"Vf=2V"
"D25"	"Digi-Key Electronics"	"350-2041-2-ND"	"Dialight"	"5988140107F"	"LED Yellow 0805"	"1"	""	"YEL"	"LED 0805 Yellow"	"Yellow 593nm LED Indication - Discrete 2V 0805 (2012 Metric)"	"YEL"	"-NA-"	"Vf=2V"
"D27"	"Digi-Key Electronics"	"568-4677-2-ND"	"NXP"	"PRTR5V0U2F,115"	"TVS Array, 2 Lines, Low Capacitance"	"1"	""	"PRTR5V0U2F"	"Rail-to-rail ESD protection devices"	"TVS DIODE 5.5VWM SOT886"	"5.5V"	"-NA-"	"5.5Vso 1pF"
"D45"	""	""	"Toshiba"	"DF2S6.8FS,L3M"	""	"1"	""	"DF2S6.8FS,L3M"	"TVS DIODE 5V 9V SOD923"	"TVS DIODE 5V 9V SOD923"	"5V"	""	"5Vso"
"D50, D51, D52, D53, D54, D55, D56, D57"	"Digi-Key"	"BAT54WT-7DI-ND"	"Diodes Incorporated"	"BAT54WT-7"	"BAT54"	"8"	""	"BAT54"	"Diode Schottky 30V 100mA Surface Mount SOD-523"	"Diode Schottky 30V 100mA Surface Mount SOD-523"	"BAT54"	"NA"	"30V 0.1A"
"F1, F2"	"Digi-Key Electronics"	"36-3557-2-ND"	"Keystone"	"3557-2"	"Fuse Holder"	"2"	""	"3557-2"	"FUSE PTH ATO"	"Fuse Block 30A 500V 1 Circuit Blade PCB"	"-NA-"	"-NA-"	"500V"
"FB26, FB27, FB28, FB29, FB30"	"Digi-Key Electronics"	"1276-6351-2-ND"	"Samsung"	"CIS10P121AC"	"FERRITE 120R 3A 0603"	"5"	""	"120R"	"FERRITE BEAD 120 OHM 0603 1LN"	"FERRITE BEAD 120 OHM 0603 1LN"	"120Rfb"	"-NA-"	"3A"
"FD1, FD2, FD3, FD4"	""	""	""	"NOTAPART-Fiducial"	""	"4"	""	"FIDUCIAL"	""	""	""	""	""
"J1"	""	""	"Molex"	"0430450612"	"0430450612"	"1"	""	"0430450612"	"Conn - 3mm Pitch Fixed"	"Micro-Fit THT 6pos 3mm"	"0430450612"	""	"600V 8A 3mm"
"J2A, J2B, J2C, J2D, J2E, J2F, J2G, J2H"	""	""	"Molex"	"43045-0412"	"43045-0412"	"8"	""	"43045-0412"	"Conn - 3mm Pitch Fixed"	"Micro-Fit THT 4pos 3mm"	"43045-0412"	""	"600V 8A 3mm"
"J3"	"Digi-Key"	""	"TE"	"4DB-P108-10"	""	"1"	""	"4DB-P108-10"	"CONN BARRIER STRIP 10CIRC 0.325""	"10 Circuit 0.325" (8.26mm) Barrier Block Connector, Screws with Captive Plate"	"4DB-P108-10"	"NA"	""
"J4"	"Digi-Key Electronics"	"609-3695-2-ND"	"Amphenol FCI"	"20021121-00010C4LF"	"10 Pin Conn 2Row SMT"	"1"	""	"0.05in 2-Row"	"20021121-00010C4LF"	"10 Positions Header, Unshrouded Connector 0.050" (1.27mm) Surface Mount Gold"	"HDR10"	"-NA-"	"-NA-"
"J5, J6, J7, J9, J10, J11, J22, J29, J30, J31, J32, J33"	"Digikey"	"WM4801-ND"	"Molex"	"0705430002"	"3 Pin Conn VERT"	"12"	""	"Molex 70543-03"	"3 Positions Header, Shrouded Connector 0.100" (2.54mm) Through Hole Gold - Pin in Paste"	"3 Positions Header, Shrouded Connector 0.100" (2.54mm) Through Hole Gold"	"HDR3"	"-NA-"	"-NA-"
"J8"	"Digi-Key Electronics"	"609-1039-ND"	"Amphenol FCI"	"61729-0010BLF"	"CONN RCPT USB TYPE B R/A PCB"	"1"	""	"USB-B"	""	"USB - B USB 2.0 Receptacle Connector 4 Position Through Hole, Right Angle"	"USB B"	"-NA-"	"-NA-"
"J12, J13, J28"	"Digikey"	"ED1543-ND"	"On Shore"	"302-S101"	"HDR10"	"3"	""	"HDR10"	"CONN HEADER VERT 10POS GOLD"	"10 Positions Header Connector 0.100" (2.54mm) Through Hole Gold"	"HDR10"	"-NA-"	"-NA-"
"J14, J15, J16"	"Digikey"	"WM4800-ND"	"Molex"	"0705430001"	"2 Pin Conn"	"3"	""	"CONN 2PIN VERT 0.1" SHRD LOCKING PIP"	"Connector 2pos - Pin in Paste"	"2 Positions Header, Shrouded Connector 0.100" (2.54mm) Through Hole Gold"	"HDR2"	"-NA-"	"-NA-"
"J18"	"Digikey"	"WM9731TR-ND"	"Molex"	"0475710001"	"CONN Micro SD"	"1"	""	"0475710001"	"microSD 0475710001Molex Part"	"10 (8 + 2) Position Card Connector Secure Digital - microSD™ Surface Mount, Right Angle Gold"	"SD Conn"	"-NA-"	"-NA-"
"J20"	"Future"	"08N6796"	"Multicomp"	"2213S-24G"	"CONN 24Pin 2Row 0.1""	"1"	""	"Header 12X2"	"Header, 12-Pin, Dual row"	"Board-To-Board Connector, 2.54 mm, 24 Contacts, Header, 2213S Series, Through Hole, 2 Rows"	"HDR24"	"-NA-"	"-NA-"
"J21A, J21B, J21C, J21D, J21E"	"Digikey"	"277-12184-ND"	"Phoenix Contact"	"1864286"	"1864286"	"5"	""	"1864286"	"TERM BLOCK 2POS 45DEG 3.5MM PCB"	"2 Positions Header Connector 0.100" (2.54mm) Through Hole, Right Angle Gold"	"1864286"	"-NA-"	"-NA-"
"J24"	"Newark"	"08N6745"	"Multicomp"	"2211S-03G"	"CONN 3Pin 1Row 0.1""	"1"	""	"Header 3x1"	"Header 3Pin 1Row T-Hole"	"MULTICOMP  2211S-03G  Board-To-Board Connector, 2.54 mm, 3 Contacts, Header, 2211S Series, Through Hole, 1 Rows"	"JMP"	"-NA-"	"-NA-"
"L1"	"Digi-Key"	"SRP1038A-4R7MTR-ND"	"Bourns"	"SRP1038A-4R7M"	"4.7uH 10A"	"1"	""	"4.7uH"	"FIXED IND 4.7UH 10A 15.5 MOHM"	"4.7µH Shielded Wirewound Inductor 10A 15.5 mOhm Max Nonstandard"	"4.7uH"	"+/- 20%"	"Irms=10A, Isat=17A, DCR=0.016Ohms"
"L5"	"Digi-Key Electronics"	"490-1064-2-ND"	"Murata"	"DLW21HN900SQ2L"	"Choke Common-Mode 2LN 90 OHM SMD"	"1"	""	"DLW21HN900SQ2L"	"Common Mode Chokes Dual 90Ohm 100MHz 330mA 350mOhm DCR SMD"	"2 Line Common Mode Choke Surface Mount 90 Ohm @ 100MHz 330mA DCR 350 mOhm"	"90R"	"-NA-"	"50V 330mA 0.33Ohm"
"P1"	"Future"	"08N6790"	"Multicomp"	"2213S-08G"	"CONN 8Pin 2Row 0.1""	"1"	""	"Header 4X2"	"Header, 4-Pin, Dual row"	"Board-To-Board Connector, 2.54 mm, 8 Contacts, Header, 2213S Series, Through Hole, 2 Rows"	"HDR8"	"-NA-"	"-NA-"
"P2A, P2B, P2C, P2D, P2E, P2F, P2G, P2H"	""	""	""	""	""	"8"	""	"Header 4X2"	"Header, 4-Pin, Dual row"	""	""	""	""
"Q1, Q2, Q3, Q4"	""	""	"TI"	"CSD18503Q5A"	""	"4"	""	"CSD18503Q5A"	"MOSFET N-CH 40V 100A 8VSON"	"MOSFET N-CH 40V 100A 8VSON"	"N-FET"	""	"40V 100A"
"Q7A, Q7B, Q7C, Q7D, Q7E, Q7F, Q7G, Q7H, Q9A, Q9B, Q9C, Q9D, Q9E, Q9F, Q9G, Q9H, Q10A, Q10B, Q10C, Q10D, Q10E, Q10F, Q10G, Q10H, Q11A, Q11B, Q11C, Q11D, Q11E, Q11F, Q11G, Q11H"	"Digikey"	"NVMFD5C478NT1GOSCT-ND"	"ON Semiconductor"	"NVMFD5C478NT1G"	""	"32"	""	"NVMFD5C478NT1G"	"40V 17 MOHM T6 S08FL DUAL"	"Mosfet Array 2 N-Channel (Dual) 40V 9.8A (Ta), 27A (Tc) 3.1W (Ta), 23W (Tc) Surface Mount 8-DFN (5x6) Dual Flag (SO8FL-Dual)"	"NVMFD5C478NT1G"	"-NA-"	"40V 17 MOHM"
"Q8"	"Digi-Key Electronics"	"MMBT3904T-FDITR-ND"	"Diodes Incorporated"	"MMBT3904T-7-F"	"TRANS NPN 40V 0.2A SOT523"	"1"	""	"MMBT3904"	"TRANS NPN 60V 0.2A SOT523"	"Bipolar (BJT) Transistor NPN 40V 200mA 300MHz 150mW Surface Mount SOT-523"	"NPN"	"-NA-"	"40V 0.2A"
"Q12, Q13"	"Digi-Key"	"NCV8402ADDR2GOSTR-ND"	"On Semi"	"NCV8402ADDR2G"	"NCV8402"	"2"	""	"NCV8402AD"	""	"IC DVR LOW SIDE 8-SOIC"	"NCV8402"	"NA"	"42Vmaz 2A 0.165-Ohm"
"R1"	"Digikey"	"YAG2950TR-ND"	"Yageo"	"RC0402FR-0710K2L"	"10.2k 1% 0402"	"1"	""	"10.2k"	"RES SMD 10.2K OHM 1% 1/16W 0402"	"10.2 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"	"10.2k"	"1%"	"1/16W"
"R2"	""	""	"Stackpole"	"RMCF0402FT1K40"	""	"1"	""	"1.4K"	"RES SMD 1.4K OHM 1% 1/16W 0402"	"1.4 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film"	"1.4K"	"+/- 1%"	"1.4k 1% 0402"
"R3, R4, R13, R32, R59, R84, R86A, R86B, R86C, R86D, R86E, R86F, R86G, R86H, R88A, R88B, R88C, R88D, R88E, R89, R93, R94, R116A, R116B, R116C, R116D, R116E, R116F, R116G, R116H, R163A, R163B, R163C, R163D, R163E, R163F, R163G, R163H, R168A, R168B, R168C, R168D, R168E, R168F, R168G, R168H, R170A, R170B, R170C, R170D, R170E, R170F, R170G, R170H"	""	""	"Vishay Dale"	"CRCW040247R0FKEDC"	""	"54"	""	"47R"	"RES 47 OHM 1% 1/16W 0402"	"47 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric)  Thick Film"	"47R"	"+/- 1%"	"47R 1% 0402"
"R5"	"Digikey"	"311-1.96KLRTR-ND"	"Yageo"	"RC0402FR-071K96L"	"1.96k 1% 0402"	"1"	""	"1.96k"	"RES SMD 1.96K OHM 1% 1/16W 0402"	"1.96 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"	"1.96k"	"1%"	"1/16W"
"R6, R7, R8, R9, R11, R12, R14, R15, R29, R30, R39, R54, R56, R64, R65, R66, R67, R68, R69, R70, R85, R95, R96, R97, R100, R108A, R108B, R108C, R108D, R108E, R108F, R108G, R108H, R119, R150, R151, R155"	"Digikey, Digi-Key Electronics"	"YAG1249TR-ND"	"Yageo"	"RC0402FR-0710KP"	"10k 1% 0402"	"37"	""	"10K"	"RES SMD 10K OHM 1% 1/16W 0402"	"10k Ohm ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"	"10K"	"1%"	"1/16W"
"R10"	"Digikey"	"YAG3138CT-ND"	"Yageo"	"RC0402FR-0737K4L"	"37.4k"	"1"	""	"37.4k"	"RES SMD 37.4K OHM 1% 1/16W 0402"	"37.4 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"	"37.4k"	"1%"	"1/16W"
"R16A, R16B, R16C, R16D, R16E, R16F, R16G, R16H, R17A, R17B, R17C, R17D, R17E, R17F, R17G, R17H, R18A, R18B, R18C, R18D, R18E, R18F, R18G, R18H, R62, R80, R90"	"Digikey, Digi-Key Electronics"	"311-4.7KLRTR-ND"	"YAGEO"	"RC0402FR-074K7L"	"4.7k 1% 0402"	"27"	""	"4.7k"	"RES SMD 4.7K OHM 1% 1/16W 0402"	"4.7k Ohm ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"	"4.7k"	"1%"	"1/16W"
"R19, R23, R33, R34, R36, R40, R41, R71, R72, R74, R76, R79, R102, R152, R174, R175, R176, R177, R186, R187, R188, R189, R191, R193, R197, R198"	"Digi-Key Electronics, Digi-Key, Digikey"	"311-1.00KLRTR-ND"	"Yageo"	"RC0402FR-071KL"	"1k 1% 0402, 1k"	"26"	""	"1k"	"RES 0402 1k 63mW 1%, RES SMD 1K OHM 1% 1/16W 0402"	"1k Ohm ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"	"1k"	"1%, +/- 1%"	"1/16W, 1k 1% 0402"
"R20, R21, R25, R53, R98, R99, R109, R114, R120, R133, R134, R135, R136, R137, R138, R139, R140, R141, R142, R143, R144, R145, R149, R153, R159, R160, R161, R180, R181"	"Digi-Key Electronics, Digi-Key"	"311-100LRTR-ND"	"Yageo"	"RC0402FR-07100RL"	"100R 1% 0402"	"29"	""	"100R"	"RES SMD 100 OHM 1% 1/16W 0402"	"100 Ohm ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"	"100R"	"1%"	"1/16W, 100R 1% 0402"
"R22, R31, R35, R37, R38, R51, R58, R63, R73, R75, R78, R158, R190, R192"	"Digi-Key Electronics, Digikey"	"1276-3432-1-ND"	"Samsung"	"RC1005F104CS"	"100k 1% 0402"	"14"	""	"100K"	"RES SMD 100K OHM 1% 1/16W 0402"	"100k Ohm ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"	"100K"	"1%"	"1/16W"
"R24, R27, R52, R55, R110A, R110B, R110C, R110D, R110E, R110F, R110G, R110H, R111A, R111B, R111C, R111D, R111E, R111F, R111G, R111H, R112A, R112B, R112C, R112D, R112E, R112F, R112G, R112H, R113A, R113B, R113C, R113D, R113E, R113F, R113G, R113H, R164A, R164B, R164C, R164D, R164E, R164F, R164G, R164H, R165A, R165B, R165C, R165D, R165E, R165F, R165G, R165H, R166A, R166B, R166C, R166D, R166E, R166F, R166G, R166H, R167A, R167B, R167C, R167D, R167E, R167F, R167G, R167H"	"Digi-Key Electronics, Digikey"	"311-10.0LRTR-ND"	"Yageo"	"RC0402FR-0710RL"	"10R, 10R 1% 0402"	"68"	""	"10R"	"RES SMD 10 OHM 1% 1/16W 0402"	"10 Ohm ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"	"10R"	"1%"	"10R 1% 0402, 1/16W"
